fecha,año,mes,mes_nombre,insumo,indice,categoria
2018-12-01,2018,12,Diciembre,10-20-30,90.19,Fertilizante compuesto
2018-12-01,2018,12,Diciembre,12-24-12,87.69,Fertilizante compuesto
2018-12-01,2018,12,Diciembre,13-26-6,89.86,Fertilizante compuesto
2018-12-01,2018,12,Diciembre,15-15-15,89.24,Fertilizante compuesto
2018-12-01,2018,12,Diciembre,15-4-23,83.32,Fertilizante compuesto
2018-12-01,2018,12,Diciembre,17-6-18-2,86.45,Fertilizante compuesto
2018-12-01,2018,12,Diciembre,18-18-18,94.57,Fertilizante compuesto
2018-12-01,2018,12,Diciembre,25-4-24,91.81,Fertilizante compuesto
2018-12-01,2018,12,Diciembre,28-4-0-6,82.78,Fertilizante compuesto
2018-12-01,2018,12,Diciembre,31-8-8,92.57,Fertilizante compuesto
2018-12-01,2018,12,Diciembre,DAP 18-46,96.36,Fertilizante simple
2018-12-01,2018,12,Diciembre,KCL 0-0-60,91.33,Fertilizante simple
2018-12-01,2018,12,Diciembre,SAM,90.73,Fertilizante simple
2018-12-01,2018,12,Diciembre,Urea 46%,92.37,Fertilizante simple
2018-12-01,2018,12,Diciembre,Urea sulfato,86.27,Fertilizante simple
2018-12-01,2018,12,Diciembre,Azoxistrobin + difenoconazol,90.39,Fungicida
2018-12-01,2018,12,Diciembre,Clorotalonil,85.61,Fungicida
2018-12-01,2018,12,Diciembre,Difenoconazol,90.34,Fungicida
2018-12-01,2018,12,Diciembre,Dimetomorf,85.26,Fungicida
2018-12-01,2018,12,Diciembre,Mancozeb,90.79,Fungicida
2018-12-01,2018,12,Diciembre,Mancozeb + cimoxanil,91.3,Fungicida
2018-12-01,2018,12,Diciembre,Mancozeb + metalaxil-m,92.04,Fungicida
2018-12-01,2018,12,Diciembre,Propineb + fluopicolide,89.1,Fungicida
2018-12-01,2018,12,Diciembre,Tebuconazol + trifloxistrobin,112.75,Fungicida
2018-12-01,2018,12,Diciembre,"2,4-D",88.3,Herbicida
2018-12-01,2018,12,Diciembre,"2,4-D + picloram",90.59,Herbicida
2018-12-01,2018,12,Diciembre,"Aminopiralid + 2,4-D",89.54,Herbicida
2018-12-01,2018,12,Diciembre,Diuron,86.14,Herbicida
2018-12-01,2018,12,Diciembre,Glifosato,97.89,Herbicida
2018-12-01,2018,12,Diciembre,Glufosinato de amonio,107.65,Herbicida
2018-12-01,2018,12,Diciembre,Metsulfuron metil,104.21,Herbicida
2018-12-01,2018,12,Diciembre,Oxadiazon,58.38,Herbicida
2018-12-01,2018,12,Diciembre,Paraquat,95.91,Herbicida
2018-12-01,2018,12,Diciembre,Pendimetalin,75.81,Herbicida
2018-12-01,2018,12,Diciembre,Picloram,94.77,Herbicida
2018-12-01,2018,12,Diciembre,Propanil,95.59,Herbicida
2018-12-01,2018,12,Diciembre,Abamectina,90.97,Insecticida
2018-12-01,2018,12,Diciembre,Cipermetrina,85.94,Insecticida
2018-12-01,2018,12,Diciembre,Clorpirifos,84.67,Insecticida
2018-12-01,2018,12,Diciembre,Fipronil,88.91,Insecticida
2018-12-01,2018,12,Diciembre,Imidacloprid,92.52,Insecticida
2018-12-01,2018,12,Diciembre,Metomil,82.84,Insecticida
2018-12-01,2018,12,Diciembre,Profenofos,83.91,Insecticida
2018-12-01,2018,12,Diciembre,Profenofos + cipermetrina,80.13,Insecticida
2018-12-01,2018,12,Diciembre,Tiametoxam + lambdacihalotrina,93.01,Insecticida
2019-01-01,2019,1,Enero,10-20-30,93.62,Fertilizante compuesto
2019-01-01,2019,1,Enero,12-24-12,89.95,Fertilizante compuesto
2019-01-01,2019,1,Enero,13-26-6,92.4,Fertilizante compuesto
2019-01-01,2019,1,Enero,15-15-15,90.08,Fertilizante compuesto
2019-01-01,2019,1,Enero,15-4-23,84.89,Fertilizante compuesto
2019-01-01,2019,1,Enero,17-6-18-2,90.32,Fertilizante compuesto
2019-01-01,2019,1,Enero,18-18-18,99.37,Fertilizante compuesto
2019-01-01,2019,1,Enero,25-4-24,92.72,Fertilizante compuesto
2019-01-01,2019,1,Enero,28-4-0-6,88.74,Fertilizante compuesto
2019-01-01,2019,1,Enero,31-8-8,94.07,Fertilizante compuesto
2019-01-01,2019,1,Enero,DAP 18-46,99.5,Fertilizante simple
2019-01-01,2019,1,Enero,KCL 0-0-60,94.26,Fertilizante simple
2019-01-01,2019,1,Enero,SAM,94.91,Fertilizante simple
2019-01-01,2019,1,Enero,Urea 46%,96.73,Fertilizante simple
2019-01-01,2019,1,Enero,Urea sulfato,92.07,Fertilizante simple
2019-01-01,2019,1,Enero,Azoxistrobin + difenoconazol,90.77,Fungicida
2019-01-01,2019,1,Enero,Clorotalonil,85.8,Fungicida
2019-01-01,2019,1,Enero,Difenoconazol,90.54,Fungicida
2019-01-01,2019,1,Enero,Dimetomorf,86.04,Fungicida
2019-01-01,2019,1,Enero,Mancozeb,90.73,Fungicida
2019-01-01,2019,1,Enero,Mancozeb + cimoxanil,91.58,Fungicida
2019-01-01,2019,1,Enero,Mancozeb + metalaxil-m,91.2,Fungicida
2019-01-01,2019,1,Enero,Propineb + fluopicolide,89.47,Fungicida
2019-01-01,2019,1,Enero,Tebuconazol + trifloxistrobin,112.74,Fungicida
2019-01-01,2019,1,Enero,"2,4-D",89.48,Herbicida
2019-01-01,2019,1,Enero,"2,4-D + picloram",90.98,Herbicida
2019-01-01,2019,1,Enero,"Aminopiralid + 2,4-D",89.61,Herbicida
2019-01-01,2019,1,Enero,Diuron,86.69,Herbicida
2019-01-01,2019,1,Enero,Glifosato,97.48,Herbicida
2019-01-01,2019,1,Enero,Glufosinato de amonio,106.03,Herbicida
2019-01-01,2019,1,Enero,Metsulfuron metil,102.91,Herbicida
2019-01-01,2019,1,Enero,Oxadiazon,58.38,Herbicida
2019-01-01,2019,1,Enero,Paraquat,96.27,Herbicida
2019-01-01,2019,1,Enero,Pendimetalin,75.82,Herbicida
2019-01-01,2019,1,Enero,Picloram,95.92,Herbicida
2019-01-01,2019,1,Enero,Propanil,94.86,Herbicida
2019-01-01,2019,1,Enero,Abamectina,92.02,Insecticida
2019-01-01,2019,1,Enero,Cipermetrina,85.39,Insecticida
2019-01-01,2019,1,Enero,Clorpirifos,85.05,Insecticida
2019-01-01,2019,1,Enero,Fipronil,89.69,Insecticida
2019-01-01,2019,1,Enero,Imidacloprid,91.8,Insecticida
2019-01-01,2019,1,Enero,Metomil,83.39,Insecticida
2019-01-01,2019,1,Enero,Profenofos,83.87,Insecticida
2019-01-01,2019,1,Enero,Profenofos + cipermetrina,80.17,Insecticida
2019-01-01,2019,1,Enero,Tiametoxam + lambdacihalotrina,92.81,Insecticida
2019-02-01,2019,2,Febrero,10-20-30,93.68,Fertilizante compuesto
2019-02-01,2019,2,Febrero,12-24-12,92.13,Fertilizante compuesto
2019-02-01,2019,2,Febrero,13-26-6,93.71,Fertilizante compuesto
2019-02-01,2019,2,Febrero,15-15-15,91.9,Fertilizante compuesto
2019-02-01,2019,2,Febrero,15-4-23,87.72,Fertilizante compuesto
2019-02-01,2019,2,Febrero,17-6-18-2,92.52,Fertilizante compuesto
2019-02-01,2019,2,Febrero,18-18-18,99.03,Fertilizante compuesto
2019-02-01,2019,2,Febrero,25-4-24,94.98,Fertilizante compuesto
2019-02-01,2019,2,Febrero,28-4-0-6,87.62,Fertilizante compuesto
2019-02-01,2019,2,Febrero,31-8-8,99.67,Fertilizante compuesto
2019-02-01,2019,2,Febrero,DAP 18-46,100.22,Fertilizante simple
2019-02-01,2019,2,Febrero,KCL 0-0-60,97.49,Fertilizante simple
2019-02-01,2019,2,Febrero,SAM,96.11,Fertilizante simple
2019-02-01,2019,2,Febrero,Urea 46%,99.41,Fertilizante simple
2019-02-01,2019,2,Febrero,Urea sulfato,94.6,Fertilizante simple
2019-02-01,2019,2,Febrero,Azoxistrobin + difenoconazol,90.9,Fungicida
2019-02-01,2019,2,Febrero,Clorotalonil,86.5,Fungicida
2019-02-01,2019,2,Febrero,Difenoconazol,90.97,Fungicida
2019-02-01,2019,2,Febrero,Dimetomorf,85.91,Fungicida
2019-02-01,2019,2,Febrero,Mancozeb,90.57,Fungicida
2019-02-01,2019,2,Febrero,Mancozeb + cimoxanil,91.68,Fungicida
2019-02-01,2019,2,Febrero,Mancozeb + metalaxil-m,90.76,Fungicida
2019-02-01,2019,2,Febrero,Propineb + fluopicolide,89.3,Fungicida
2019-02-01,2019,2,Febrero,Tebuconazol + trifloxistrobin,112.39,Fungicida
2019-02-01,2019,2,Febrero,"2,4-D",89.73,Herbicida
2019-02-01,2019,2,Febrero,"2,4-D + picloram",90.67,Herbicida
2019-02-01,2019,2,Febrero,"Aminopiralid + 2,4-D",88.92,Herbicida
2019-02-01,2019,2,Febrero,Diuron,86.19,Herbicida
2019-02-01,2019,2,Febrero,Glifosato,98.01,Herbicida
2019-02-01,2019,2,Febrero,Glufosinato de amonio,102.51,Herbicida
2019-02-01,2019,2,Febrero,Metsulfuron metil,102.97,Herbicida
2019-02-01,2019,2,Febrero,Oxadiazon,58.38,Herbicida
2019-02-01,2019,2,Febrero,Paraquat,96.02,Herbicida
2019-02-01,2019,2,Febrero,Pendimetalin,74.51,Herbicida
2019-02-01,2019,2,Febrero,Picloram,94.74,Herbicida
2019-02-01,2019,2,Febrero,Propanil,94.77,Herbicida
2019-02-01,2019,2,Febrero,Abamectina,92.77,Insecticida
2019-02-01,2019,2,Febrero,Cipermetrina,87.05,Insecticida
2019-02-01,2019,2,Febrero,Clorpirifos,85.24,Insecticida
2019-02-01,2019,2,Febrero,Fipronil,89.41,Insecticida
2019-02-01,2019,2,Febrero,Imidacloprid,92.15,Insecticida
2019-02-01,2019,2,Febrero,Metomil,82.97,Insecticida
2019-02-01,2019,2,Febrero,Profenofos,83.71,Insecticida
2019-02-01,2019,2,Febrero,Profenofos + cipermetrina,80.44,Insecticida
2019-02-01,2019,2,Febrero,Tiametoxam + lambdacihalotrina,92.9,Insecticida
2019-03-01,2019,3,Marzo,10-20-30,95.07,Fertilizante compuesto
2019-03-01,2019,3,Marzo,12-24-12,94.44,Fertilizante compuesto
2019-03-01,2019,3,Marzo,13-26-6,95.27,Fertilizante compuesto
2019-03-01,2019,3,Marzo,15-15-15,92.83,Fertilizante compuesto
2019-03-01,2019,3,Marzo,15-4-23,88.95,Fertilizante compuesto
2019-03-01,2019,3,Marzo,17-6-18-2,94.05,Fertilizante compuesto
2019-03-01,2019,3,Marzo,18-18-18,102.29,Fertilizante compuesto
2019-03-01,2019,3,Marzo,25-4-24,98.96,Fertilizante compuesto
2019-03-01,2019,3,Marzo,28-4-0-6,90.99,Fertilizante compuesto
2019-03-01,2019,3,Marzo,31-8-8,96.88,Fertilizante compuesto
2019-03-01,2019,3,Marzo,DAP 18-46,100.47,Fertilizante simple
2019-03-01,2019,3,Marzo,KCL 0-0-60,97.96,Fertilizante simple
2019-03-01,2019,3,Marzo,SAM,96.32,Fertilizante simple
2019-03-01,2019,3,Marzo,Urea 46%,101.92,Fertilizante simple
2019-03-01,2019,3,Marzo,Urea sulfato,96.57,Fertilizante simple
2019-03-01,2019,3,Marzo,Azoxistrobin + difenoconazol,91.08,Fungicida
2019-03-01,2019,3,Marzo,Clorotalonil,87.57,Fungicida
2019-03-01,2019,3,Marzo,Difenoconazol,91.02,Fungicida
2019-03-01,2019,3,Marzo,Dimetomorf,86.56,Fungicida
2019-03-01,2019,3,Marzo,Mancozeb,91.98,Fungicida
2019-03-01,2019,3,Marzo,Mancozeb + cimoxanil,91.86,Fungicida
2019-03-01,2019,3,Marzo,Mancozeb + metalaxil-m,91.3,Fungicida
2019-03-01,2019,3,Marzo,Propineb + fluopicolide,89.43,Fungicida
2019-03-01,2019,3,Marzo,Tebuconazol + trifloxistrobin,112.94,Fungicida
2019-03-01,2019,3,Marzo,"2,4-D",90.54,Herbicida
2019-03-01,2019,3,Marzo,"2,4-D + picloram",90.87,Herbicida
2019-03-01,2019,3,Marzo,"Aminopiralid + 2,4-D",89.26,Herbicida
2019-03-01,2019,3,Marzo,Diuron,87.66,Herbicida
2019-03-01,2019,3,Marzo,Glifosato,98.19,Herbicida
2019-03-01,2019,3,Marzo,Glufosinato de amonio,103.84,Herbicida
2019-03-01,2019,3,Marzo,Metsulfuron metil,103.13,Herbicida
2019-03-01,2019,3,Marzo,Oxadiazon,58.38,Herbicida
2019-03-01,2019,3,Marzo,Paraquat,95.85,Herbicida
2019-03-01,2019,3,Marzo,Pendimetalin,71.42,Herbicida
2019-03-01,2019,3,Marzo,Picloram,95.87,Herbicida
2019-03-01,2019,3,Marzo,Propanil,94.29,Herbicida
2019-03-01,2019,3,Marzo,Abamectina,92.33,Insecticida
2019-03-01,2019,3,Marzo,Cipermetrina,87.75,Insecticida
2019-03-01,2019,3,Marzo,Clorpirifos,85.5,Insecticida
2019-03-01,2019,3,Marzo,Fipronil,90.02,Insecticida
2019-03-01,2019,3,Marzo,Imidacloprid,92.21,Insecticida
2019-03-01,2019,3,Marzo,Metomil,83.33,Insecticida
2019-03-01,2019,3,Marzo,Profenofos,83.82,Insecticida
2019-03-01,2019,3,Marzo,Profenofos + cipermetrina,80.2,Insecticida
2019-03-01,2019,3,Marzo,Tiametoxam + lambdacihalotrina,93.44,Insecticida
2019-04-01,2019,4,Abril,10-20-30,95.8,Fertilizante compuesto
2019-04-01,2019,4,Abril,12-24-12,94.68,Fertilizante compuesto
2019-04-01,2019,4,Abril,13-26-6,95.97,Fertilizante compuesto
2019-04-01,2019,4,Abril,15-15-15,92.39,Fertilizante compuesto
2019-04-01,2019,4,Abril,15-4-23,89.75,Fertilizante compuesto
2019-04-01,2019,4,Abril,17-6-18-2,93.71,Fertilizante compuesto
2019-04-01,2019,4,Abril,18-18-18,101.73,Fertilizante compuesto
2019-04-01,2019,4,Abril,25-4-24,99.23,Fertilizante compuesto
2019-04-01,2019,4,Abril,28-4-0-6,91.3,Fertilizante compuesto
2019-04-01,2019,4,Abril,31-8-8,100.23,Fertilizante compuesto
2019-04-01,2019,4,Abril,DAP 18-46,100.93,Fertilizante simple
2019-04-01,2019,4,Abril,KCL 0-0-60,98.52,Fertilizante simple
2019-04-01,2019,4,Abril,SAM,96.02,Fertilizante simple
2019-04-01,2019,4,Abril,Urea 46%,100.86,Fertilizante simple
2019-04-01,2019,4,Abril,Urea sulfato,96.3,Fertilizante simple
2019-04-01,2019,4,Abril,Azoxistrobin + difenoconazol,91.14,Fungicida
2019-04-01,2019,4,Abril,Clorotalonil,88.63,Fungicida
2019-04-01,2019,4,Abril,Difenoconazol,92.2,Fungicida
2019-04-01,2019,4,Abril,Dimetomorf,87.29,Fungicida
2019-04-01,2019,4,Abril,Mancozeb,92.36,Fungicida
2019-04-01,2019,4,Abril,Mancozeb + cimoxanil,91.91,Fungicida
2019-04-01,2019,4,Abril,Mancozeb + metalaxil-m,91.53,Fungicida
2019-04-01,2019,4,Abril,Propineb + fluopicolide,89.94,Fungicida
2019-04-01,2019,4,Abril,Tebuconazol + trifloxistrobin,109.41,Fungicida
2019-04-01,2019,4,Abril,"2,4-D",90.98,Herbicida
2019-04-01,2019,4,Abril,"2,4-D + picloram",91.05,Herbicida
2019-04-01,2019,4,Abril,"Aminopiralid + 2,4-D",89.26,Herbicida
2019-04-01,2019,4,Abril,Diuron,88.71,Herbicida
2019-04-01,2019,4,Abril,Glifosato,98.19,Herbicida
2019-04-01,2019,4,Abril,Glufosinato de amonio,103.79,Herbicida
2019-04-01,2019,4,Abril,Metsulfuron metil,102.3,Herbicida
2019-04-01,2019,4,Abril,Oxadiazon,58.38,Herbicida
2019-04-01,2019,4,Abril,Paraquat,95.69,Herbicida
2019-04-01,2019,4,Abril,Pendimetalin,74.69,Herbicida
2019-04-01,2019,4,Abril,Picloram,95.66,Herbicida
2019-04-01,2019,4,Abril,Propanil,93.92,Herbicida
2019-04-01,2019,4,Abril,Abamectina,92.27,Insecticida
2019-04-01,2019,4,Abril,Cipermetrina,89.43,Insecticida
2019-04-01,2019,4,Abril,Clorpirifos,85.76,Insecticida
2019-04-01,2019,4,Abril,Fipronil,89.81,Insecticida
2019-04-01,2019,4,Abril,Imidacloprid,92.93,Insecticida
2019-04-01,2019,4,Abril,Metomil,84.57,Insecticida
2019-04-01,2019,4,Abril,Profenofos,84.19,Insecticida
2019-04-01,2019,4,Abril,Profenofos + cipermetrina,81.78,Insecticida
2019-04-01,2019,4,Abril,Tiametoxam + lambdacihalotrina,93.58,Insecticida
2019-05-01,2019,5,Mayo,10-20-30,95.08,Fertilizante compuesto
2019-05-01,2019,5,Mayo,12-24-12,94.84,Fertilizante compuesto
2019-05-01,2019,5,Mayo,13-26-6,96.38,Fertilizante compuesto
2019-05-01,2019,5,Mayo,15-15-15,91.99,Fertilizante compuesto
2019-05-01,2019,5,Mayo,15-4-23,89.94,Fertilizante compuesto
2019-05-01,2019,5,Mayo,17-6-18-2,94.17,Fertilizante compuesto
2019-05-01,2019,5,Mayo,18-18-18,100.9,Fertilizante compuesto
2019-05-01,2019,5,Mayo,25-4-24,97.57,Fertilizante compuesto
2019-05-01,2019,5,Mayo,28-4-0-6,90.67,Fertilizante compuesto
2019-05-01,2019,5,Mayo,31-8-8,97.28,Fertilizante compuesto
2019-05-01,2019,5,Mayo,DAP 18-46,101.55,Fertilizante simple
2019-05-01,2019,5,Mayo,KCL 0-0-60,97.79,Fertilizante simple
2019-05-01,2019,5,Mayo,SAM,96.28,Fertilizante simple
2019-05-01,2019,5,Mayo,Urea 46%,98.54,Fertilizante simple
2019-05-01,2019,5,Mayo,Urea sulfato,98.89,Fertilizante simple
2019-05-01,2019,5,Mayo,Azoxistrobin + difenoconazol,91.11,Fungicida
2019-05-01,2019,5,Mayo,Clorotalonil,91.54,Fungicida
2019-05-01,2019,5,Mayo,Difenoconazol,91.82,Fungicida
2019-05-01,2019,5,Mayo,Dimetomorf,88.78,Fungicida
2019-05-01,2019,5,Mayo,Mancozeb,92.69,Fungicida
2019-05-01,2019,5,Mayo,Mancozeb + cimoxanil,92.16,Fungicida
2019-05-01,2019,5,Mayo,Mancozeb + metalaxil-m,91.62,Fungicida
2019-05-01,2019,5,Mayo,Propineb + fluopicolide,90.24,Fungicida
2019-05-01,2019,5,Mayo,Tebuconazol + trifloxistrobin,108.63,Fungicida
2019-05-01,2019,5,Mayo,"2,4-D",92.2,Herbicida
2019-05-01,2019,5,Mayo,"2,4-D + picloram",91.04,Herbicida
2019-05-01,2019,5,Mayo,"Aminopiralid + 2,4-D",89.89,Herbicida
2019-05-01,2019,5,Mayo,Diuron,90.34,Herbicida
2019-05-01,2019,5,Mayo,Glifosato,98.39,Herbicida
