"Fecha","Indice_total","Total_Fertilizantes","Total_Plaguicidas","Total_Otros","Total_Simples","Total_Compuestos","Total_Herbicidas","Total_Fungicidas","Total_Insecticidas","Urea 46%","Urea sulfato","DAP 18-46","KCL 0-0-60","SAM","15-15-15","25-4-24","17-6-18-2","18-18-18","31-8-8","12-24-12","13-26-6","15-4-23","10-20-30","28-4-0-6","Glifosato","Paraquat","Propanil","2,4-D + picloram","2,4-D","Aminopiralid + 2,4-D","Diuron","Glufosinato de amonio","Picloram","Oxadiazon","Metsulfuron metil","Pendimetalin","Clorotalonil","Difenoconazol","Mancozeb","Mancozeb + cimoxanil","Azoxistrobin + difenoconazol","Dimetomorf","Tebuconazol + trifloxistrobin","Propineb + fluopicolide","Mancozeb + metalaxil-m","Clorpirifos","Fipronil","Metomil","Tiametoxam + lambdacihalotrina","Abamectina","Imidacloprid","Profenofos + cipermetrina","Cipermetrina","Profenofos","Total_Coadyuvantes","Total_Reguladores","Total_Molusquicidas"
"09/2025","147.05","165.71","117.63","129.3","164.08","166.73","119","112.61","117.15","171.39","154.71","207.71","141.12","136.28","160.64","160.95","160.18","176.42","172.15","182.51","182.08","167.95","160.47","146.81","126.68","112.96","132.23","119.99","113.35","146.47","117.21","81.37","100.38","97.45","72.91","115.71","88.38","94.71","147.02","120.77","128.47","92.93","120.75","134.94","123.87","0","0","121.46","80.13","98.74","86.09","125.62","120.52","141.4","129.82","125.63","179.14"
"08/2025","145.32","162.85","117.73","129.23","160.88","164.16","119.19","112.7","117.05","165.37","152.24","205.89","140.44","136.88","160.71","143.42","159.9","180.82","168.61","188.01","181.87","171.97","161.01","146.57","124.51","113.97","134.46","121.49","113.43","146.07","115.31","83.02","102.98","98.46","76.05","115.98","88.31","94.64","147.59","120.21","129.23","93.76","121.04","134.61","123.49","0","0","120.12","81.08","99.58","86.37","125.46","120.61","138.67","129.84","125.29","179.05"
"07/2025","146.43","164.22","118.43","128.96","159.32","167.92","120.5","112.92","116.74","164.47","149.9","203.6","136.84","138.4","162.32","156.34","160.19","176.04","183.39","191.29","181.39","173.1","161.3","145.86","126.81","112.13","137.23","120.64","113.38","147.3","116.68","83.23","116.65","98.85","76.43","116.72","88.32","94.47","147.32","120.92","129.54","95.66","120.78","134.42","124.27","0","0","119.41","80.76","99.18","86.29","125.18","121.2","138.79","129.41","125.37","186.77"
"06/2025","146.35","163.54","119.33","128.56","156.94","168.63","122.06","112.96","117.04","161.29","146.66","199.96","136.26","138.27","161.95","168.71","161.6","175.71","162.77","189.23","180.34","173.83","160.85","148.11","125.97","123.59","136.71","120.95","118.08","145.93","118.09","83.17","110.48","99.8","73.58","117.22","88.71","95.94","147.87","120.1","128.52","94.32","120.8","133.48","124","0","0","119.23","81.25","99.1","86.6","125.04","123.54","138.28","128.73","125.86","186.38"
"05/2025","145.31","161.79","119.43","128.26","156.82","165.55","122","113.07","117.56","160.69","148.25","198.03","135.54","140.4","163.72","152.93","161.81","171.93","163.97","190.06","177.67","171.58","159.82","153.61","126.55","120.17","133.35","121.03","115.87","146.96","119.77","85.78","125.59","99.47","73.08","116.93","88.51","95.53","148.14","120.26","128.51","96.41","120.99","134.02","123.71","0","0","119.28","81.61","99.43","89.89","124.53","122.89","138.57","128.76","124.5","185.09"
"04/2025","145.67","161.94","120.16","127.02","156.01","166.49","123.46","113.06","117.33","158.87","147.86","195.02","134.77","144.72","164.04","155.29","163.04","171.73","165.92","190.04","178.59","172.66","158.92","154.75","126.47","119.74","133.76","122.93","124.13","145.43","119.53","88.35","131.61","101.01","82.2","117.09","88.59","95.82","148.37","120.48","128.61","95.47","120.31","133.48","123.89","0","0","119.22","81.32","98.8","90.23","124.62","122.64","137.79","127.24","124.02","190.94"
"03/2025","145.51","161.63","120.24","127.01","155.57","166.28","123.41","113.06","117.86","158.22","144.93","192.24","138.14","143.92","164.46","150.85","163.25","175.17","165.95","192.53","178.78","171.47","157.29","158.21","127.89","120.4","133.61","123.92","117.61","146.09","120.2","87.53","126.63","100.82","83.4","117.79","88.02","97.22","149.39","120.95","127.33","94.15","120.72","133.51","123.71","0","0","120.4","81.44","99.34","89.27","124.25","124.78","138.82","127.42","123.47","187.56"
"02/2025","144.66","159.9","120.83","125.73","151.84","166.18","124.14","112.97","119.06","150.51","144.32","192.05","136.7","143.49","164.19","161.29","160.97","167.89","159.66","190.4","177.85","171.02","155.74","155.01","128.47","120.59","137.34","123.29","117.89","144.96","121.82","90.43","127.81","100.97","83.13","116.57","87.21","97.84","148.62","124.2","126.64","92.37","120.88","133.15","123.5","0","0","120.17","81.99","99.1","97.12","125.11","124.31","139","126.19","122.09","184.89"
"01/2025","141.58","154.76","121.08","125.35","147.13","160.7","124.79","112.51","119.23","146.56","138.52","183.05","134.2","137.96","161.7","147.82","157.82","163.93","162.35","187.63","170.92","166.07","145.78","146.02","129.86","120.02","142.19","123.68","119.69","144.73","120.04","88.38","124.14","101","83.54","117.05","86.15","98.66","145.92","124.49","125.61","93.68","120.66","133.32","122.73","0","0","119.86","82.8","99.2","98.22","124.66","122.93","139.24","125.9","121.4","183.73"
"12/2024","139.76","151.94","120.88","125.39","143.98","158.16","124.46","112.45","119.21","142.78","134.83","182.42","131.24","135.36","161.75","145.92","152.59","158.01","164.88","185.78","164.93","163.81","142.01","142.45","129.36","119.75","137.2","124.45","121.5","144.75","121.63","88.16","124","99.75","87.17","117.29","85.26","97.63","147.32","125.78","126.1","95.24","119.83","132.39","123.3","0","0","120.26","82","99.23","98.38","124.45","123.52","139.94","125.77","121.92","188.5"
